Player,Career Span,Career Start,Career End,Matches Played,Innings Batted,Not Outs,Runs Scored,Highest Innings Score,Highest Innings Score Num,Batting Avg,Balls Faced,Batting Strike Rate,Hundreds Scored,Scores Of Fifty Or More,Ducks Scored,Country,Player Count,5000+ Runs Scored,40+ Batting Avg,90+ Batting Strike Rate
EJG Morgan (2009-2018),2009-2018,2009,2018,189,176,27,5813,124*,124,39.01,6310,92.12,10,36,11,England,1,1,0,1
IR Bell (2004-2015),2004-2015,2004,2015,161,157,14,5416,141,141,37.87,7019,77.16,4,35,6,England,1,1,0,0
PD Collingwood (2001-2011),2001-2011,2001,2011,197,181,37,5092,120*,120,35.36,6614,76.98,5,26,7,England,1,1,0,0
JE Root (2013-2018),2013-2018,2013,2018,121,115,19,4946,133*,133,51.52,5722,86.43,13,29,4,England,1,0,1,0
AJ Stewart (1989-2003),1989-2003,1989,2003,170,162,14,4677,116,116,31.60,6841,68.36,4,28,13,England,1,0,0,0
KP Pietersen (2004-2013),2004-2013,2004,2013,134,123,16,4422,130,130,41.32,5100,86.70,9,25,7,England,1,0,1,0
ME Trescothick (2000-2006),2000-2006,2000,2006,123,122,6,4335,137,137,37.37,5087,85.21,12,21,13,England,1,0,0,0
GA Gooch (1976-1995),1976-1995,1976,1995,125,122,6,4290,142,142,36.98,6932,61.88,8,23,4,England,1,0,0,0
AJ Strauss (2003-2011),2003-2011,2003,2011,127,126,8,4205,158,158,35.63,5195,80.94,6,27,9,England,1,0,0,0
AJ Lamb (1982-1992),1982-1992,1982,1992,122,118,16,4010,118,118,39.31,5308,75.54,4,26,8,England,1,0,0,0
GA Hick (1991-2001),1991-2001,1991,2001,120,118,15,3846,126*,126,37.33,5191,74.08,5,27,10,England,1,0,0,0
NV Knight (1996-2003),1996-2003,1996,2003,100,100,10,3637,125*,125,40.41,5085,71.52,5,25,6,England,1,0,1,0
A Flintoff (1999-2009),1999-2009,1999,2009,138,119,16,3293,123,123,31.97,3694,89.14,3,18,9,England,1,0,0,0
AN Cook (2006-2014),2006-2014,2006,2014,92,92,4,3204,137,137,36.40,4154,77.13,5,19,7,England,1,0,0,0
JC Buttler (2012-2018),2012-2018,2012,2018,122,101,21,3176,129,129,39.70,2715,116.97,6,18,11,England,1,0,0,1
DI Gower (1978-1991),1978-1991,1978,1991,114,111,8,3170,158,158,30.77,4218,75.15,7,12,6,England,1,0,0,0
IJL Trott (2009-2013),2009-2013,2009,2013,68,65,10,2819,137,137,51.25,3658,77.06,4,22,5,England,1,0,1,0
RS Bopara (2007-2015),2007-2015,2007,2015,120,109,21,2695,101*,101,30.62,3462,77.84,1,14,4,England,1,0,0,0
JJ Roy (2015-2018),2015-2018,2015,2018,70,69,2,2536,180,180,37.85,2433,104.23,6,12,7,England,1,0,0,1
RA Smith (1988-1996),1988-1996,1988,1996,71,70,8,2419,167*,167,39.01,3473,69.65,4,15,4,England,1,0,0,0
GP Thorpe (1993-2002),1993-2002,1993,2002,82,77,13,2380,89,89,37.18,3344,71.17,0,21,3,England,1,0,0,0
N Hussain (1989-2003),1989-2003,1989,2003,88,87,10,2332,115,115,30.28,3481,66.99,1,16,6,England,1,0,0,0
AD Hales (2014-2018),2014-2018,2014,2018,67,65,3,2314,171,171,37.32,2419,95.65,6,13,5,England,1,0,0,1
IT Botham (1976-1992),1976-1992,1976,1992,116,106,15,2113,79,79,23.21,2671,79.10,0,9,6,England,1,0,0,0
MW Gatting (1977-1993),1977-1993,1977,1993,92,88,17,2095,115*,115,29.50,2968,70.58,1,9,4,England,1,0,0,0
NH Fairbrother (1987-1999),1987-1999,1987,1999,75,71,18,2092,113,113,39.47,2903,72.06,1,16,2,England,1,0,0,0
JM Bairstow (2011-2018),2011-2018,2011,2018,54,50,8,2017,141*,141,48.02,1929,104.56,6,7,2,England,1,0,1,1
MP Vaughan (2001-2007),2001-2007,2001,2007,86,83,10,1982,90*,90,27.15,2898,68.39,0,16,9,England,1,0,0,0
BA Stokes (2011-2018),2011-2018,2011,2018,75,64,10,1963,102*,102,36.35,2078,94.46,3,13,5,England,1,0,0,1
OA Shah (2001-2009),2001-2009,2001,2009,71,66,6,1834,107*,107,30.56,2331,78.67,1,12,6,England,1,0,0,0
MA Atherton (1990-1998),1990-1998,1990,1998,54,54,3,1791,127,127,35.11,3054,58.64,2,12,4,England,1,0,0,0
MM Ali (2014-2018),2014-2018,2014,2018,87,71,10,1621,128,128,26.57,1549,104.64,3,5,3,England,1,0,0,1
BC Broad (1987-1988),1987-1988,1987,1988,34,34,0,1361,106,106,40.02,2447,55.61,1,11,2,England,1,0,1,0
MJ Prior (2004-2011),2004-2011,2004,2011,68,62,9,1282,87,87,24.18,1670,76.76,0,3,5,England,1,0,0,0
VS Solanki (2000-2006),2000-2006,2000,2006,51,46,5,1097,106,106,26.75,1504,72.93,2,5,2,England,1,0,0,0
G Boycott (1971-1981),1971-1981,1971,1981,36,34,4,1082,105,105,36.06,2020,53.56,1,9,1,England,1,0,0,0
DW Randall (1976-1985),1976-1985,1976,1985,49,45,5,1067,88,88,26.67,1702,62.69,0,5,4,England,1,0,0,0
C Kieswetter (2010-2013),2010-2013,2010,2013,46,40,5,1054,107,107,30.11,1172,89.93,1,5,4,England,1,0,0,0
CR Woakes (2011-2018),2011-2018,2011,2018,80,56,18,1039,95*,95,27.34,1145,90.74,0,4,5,England,1,0,0,1
JWA Taylor (2011-2015),2011-2015,2011,2015,27,26,5,887,101,101,42.23,1107,80.12,1,7,2,England,1,0,1,0
TT Bresnan (2006-2015),2006-2015,2006,2015,85,64,20,871,80,80,19.79,965,90.25,0,1,6,England,1,0,0,1
DL Amiss (1972-1977),1972-1977,1972,1977,18,18,0,859,137,137,47.72,1185,72.48,4,1,0,England,1,0,0,0
CWJ Athey (1980-1988),1980-1988,1980,1988,31,30,3,848,142*,142,31.40,1495,56.72,2,4,1,England,1,0,0,0
GO Jones (2004-2006),2004-2006,2004,2006,49,41,8,815,80,80,24.69,1042,78.21,0,4,1,England,1,0,0,0
KWR Fletcher (1971-1982),1971-1982,1971,1982,24,22,3,757,131,131,39.84,1134,66.75,1,5,0,England,1,0,0,0
G Fowler (1983-1986),1983-1986,1983,1986,26,26,2,744,81*,81,31.00,1321,56.32,0,4,2,England,1,0,0,0
CJ Tavare (1980-1984),1980-1984,1980,1984,29,28,2,720,83*,83,27.69,1471,48.94,0,4,1,England,1,0,0,0
MA Ealham (1996-2001),1996-2001,1996,2001,64,45,4,716,45,45,17.46,1092,65.56,0,0,4,England,1,0,0,0
LJ Wright (2007-2014),2007-2014,2007,2014,50,39,4,707,52,52,20.20,820,86.21,0,2,5,England,1,0,0,0
PAJ DeFreitas (1987-1997),1987-1997,1987,1997,103,66,23,690,67,67,16.04,823,83.83,0,1,4,England,1,0,0,0
D Gough (1994-2006),1994-2006,1994,2006,158,87,38,609,46*,46,12.42,947,64.30,0,0,10,England,1,0,0,0
AJ Hollioake (1996-1999),1996-1999,1996,1999,35,30,6,606,83*,83,25.25,807,75.09,0,3,1,England,1,0,0,0
RT Robinson (1984-1988),1984-1988,1984,1988,26,26,0,597,83,83,22.96,1026,58.18,0,3,2,England,1,0,0,0
W Larkins (1979-1991),1979-1991,1979,1991,25,24,0,591,124,124,24.62,1047,56.44,1,0,3,England,1,0,0,0
LE Plunkett (2005-2018),2005-2018,2005,2018,74,44,15,582,56,56,20.06,585,99.48,0,1,3,England,1,0,0,1
C White (1994-2003),1994-2003,1994,2003,51,41,5,568,57*,57,15.77,928,61.20,0,1,9,England,1,0,0,0
P Willey (1977-1986),1977-1986,1977,1986,26,24,1,538,64,64,23.39,855,62.92,0,5,3,England,1,0,0,0
SCJ Broad (2006-2016),2006-2016,2006,2016,121,68,25,529,45*,45,12.30,709,74.61,0,0,8,England,1,0,0,0
AU Rashid (2009-2018),2009-2018,2009,2018,78,34,9,514,69,69,20.56,501,102.59,0,1,2,England,1,0,0,1
JM Brearley (1977-1980),1977-1980,1977,1980,25,24,3,510,78,78,24.28,1120,45.53,0,3,6,England,1,0,0,0
JE Emburey (1980-1993),1980-1993,1980,1993,61,45,10,501,34,34,14.31,664,75.45,0,0,3,England,1,0,0,0
GP Swann (2000-2013),2000-2013,2000,2013,79,48,12,500,34,34,13.88,553,90.41,0,0,3,England,1,0,0,1
JWM Dalrymple (2006-2007),2006-2007,2006,2007,27,26,1,487,67,67,19.48,672,72.47,0,2,2,England,1,0,0,0
SR Patel (2008-2013),2008-2013,2008,2013,36,22,7,482,70*,70,32.13,517,93.23,0,1,1,England,1,0,0,1
EC Joyce (2006-2007),2006-2007,2006,2007,17,17,0,471,107,107,27.70,709,66.43,1,3,1,England,1,0,0,0
DR Pringle (1982-1993),1982-1993,1982,1993,44,30,12,425,49*,49,23.61,616,68.99,0,0,1,England,1,0,0,0
RC Russell (1987-1998),1987-1998,1987,1998,40,31,7,423,50,50,17.62,638,66.30,0,1,0,England,1,0,0,0
ID Blackwell (2002-2006),2002-2006,2002,2006,34,29,2,403,82,82,14.92,465,86.66,0,1,6,England,1,0,0,0
AF Giles (1997-2005),1997-2005,1997,2005,62,35,13,385,41,41,17.50,551,69.87,0,0,2,England,1,0,0,0
MR Ramprakash (1991-2001),1991-2001,1991,2001,18,18,4,376,51,51,26.85,544,69.11,0,1,0,England,1,0,0,0
CC Lewis (1990-1998),1990-1998,1990,1998,53,40,14,374,33,33,14.38,459,81.48,0,0,6,England,1,0,0,0
RC Irani (1996-2003),1996-2003,1996,2003,31,30,5,360,53,53,14.40,549,65.57,0,1,7,England,1,0,0,0
AD Brown (1996-2001),1996-2001,1996,2001,16,16,0,354,118,118,22.12,427,82.90,1,1,2,England,1,0,0,0
RDB Croft (1996-2001),1996-2001,1996,2001,50,36,12,345,32,32,14.37,519,66.47,0,0,4,England,1,0,0,0
CM Old (1973-1981),1973-1981,1973,1981,32,25,7,338,51*,51,18.77,401,84.28,0,1,4,England,1,0,0,0
DJ Capel (1987-1990),1987-1990,1987,1990,23,19,2,327,50*,50,19.23,479,68.26,0,1,0,England,1,0,0,0
MH Yardy (2006-2011),2006-2011,2006,2011,28,24,8,326,60*,60,20.37,472,69.06,0,2,1,England,1,0,0,0
B Wood (1972-1982),1972-1982,1972,1982,13,12,2,314,78*,78,31.40,647,48.53,0,2,1,England,1,0,0,0
BC Hollioake (1997-2002),1997-2002,1997,2002,20,17,2,309,63,63,20.60,381,81.10,0,2,3,England,1,0,0,0
CMW Read (2000-2006),2000-2006,2000,2006,36,24,7,300,30*,30,17.64,410,73.17,0,0,4,England,1,0,0,0
GS Ballance (2013-2015),2013-2015,2013,2015,16,15,1,297,79,79,21.21,443,67.04,0,2,1,England,1,0,0,0
PA Nixon (2007-2007),2007-2007,2007,2007,19,18,4,297,49,49,21.21,347,85.59,0,0,2,England,1,0,0,0
DA Reeve (1991-1996),1991-1996,1991,1996,29,21,9,291,35,35,24.25,389,74.80,0,0,0,England,1,0,0,0
D Lloyd (1973-1980),1973-1980,1973,1980,8,8,1,285,116*,116,40.71,526,54.18,1,0,0,England,1,0,0,0
VJ Marks (1980-1988),1980-1988,1980,1988,34,24,3,285,44,44,13.57,434,65.66,0,0,0,England,1,0,0,0
JM Anderson (2002-2015),2002-2015,2002,2015,194,79,43,273,28,28,7.58,561,48.66,0,0,10,England,1,0,0,0
SW Billings (2015-2018),2015-2018,2015,2018,15,12,0,271,62,62,22.58,298,90.93,0,2,1,England,1,0,0,0
AW Greig (1972-1977),1972-1977,1972,1977,22,19,3,269,48,48,16.81,378,71.16,0,0,1,England,1,0,0,0
JL Denly (2009-2009),2009-2009,2009,2009,9,9,0,268,67,67,29.77,409,65.52,0,2,0,England,1,0,0,0
MH Denness (1973-1975),1973-1975,1973,1975,12,11,2,264,66,66,29.33,417,63.30,0,1,1,England,1,0,0,0
CT Radley (1978-1978),1978-1978,1978,1978,4,4,1,250,117*,117,83.33,367,68.11,1,1,0,England,1,0,0,0
AR Caddick (1993-2003),1993-2003,1993,2003,54,38,18,249,36,36,12.45,395,63.03,0,0,6,England,1,0,0,0
AD Mascarenhas (2007-2009),2007-2009,2007,2009,20,13,2,245,52,52,22.27,257,95.33,0,1,2,England,1,0,0,0
DJ Willey (2015-2018),2015-2018,2015,2018,42,25,12,245,50,50,18.84,290,84.48,0,1,1,England,1,0,0,0
SM Davies (2009-2011),2009-2011,2009,2011,8,8,0,244,87,87,30.50,231,105.62,0,1,1,England,1,0,0,0
PR Downton (1977-1988),1977-1988,1977,1988,28,20,5,242,44*,44,16.13,358,67.59,0,0,2,England,1,0,0,0
JP Crawley (1994-1999),1994-1999,1994,1999,13,12,1,235,73,73,21.36,408,57.59,0,2,2,England,1,0,0,0
P Mustard (2007-2008),2007-2008,2007,2008,10,10,0,233,83,83,23.30,252,92.46,0,1,0,England,1,0,0,0
JH Edrich (1971-1975),1971-1975,1971,1975,7,6,0,223,90,90,37.16,325,68.61,0,2,0,England,1,0,0,0
DL Bairstow (1979-1984),1979-1984,1979,1984,21,20,6,206,23*,23,14.71,390,52.82,0,0,1,England,1,0,0,0
APE Knott (1971-1977),1971-1977,1971,1977,20,14,4,200,50,50,20.00,247,80.97,0,1,2,England,1,0,0,0
DG Cork (1992-2002),1992-2002,1992,2002,32,21,3,180,31*,31,10.00,271,66.42,0,0,4,England,1,0,0,0
MD Moxon (1985-1988),1985-1988,1985,1988,8,8,0,174,70,70,21.75,325,53.53,0,1,1,England,1,0,0,0
GRJ Roope (1973-1978),1973-1978,1973,1978,8,8,0,173,44,44,21.62,342,50.58,0,0,1,England,1,0,0,0
CJ Jordan (2013-2016),2013-2016,2013,2016,31,21,7,169,38*,38,12.07,188,89.89,0,0,3,England,1,0,0,0
JE Morris (1990-1991),1990-1991,1990,1991,8,8,1,167,63*,63,23.85,225,74.22,0,1,0,England,1,0,0,0
A McGrath (2003-2004),2003-2004,2003,2004,14,12,2,166,52,52,16.60,353,47.02,0,1,1,England,1,0,0,0
MJ Lumb (2014-2014),2014-2014,2014,2014,3,3,0,165,106,106,55.00,203,81.28,1,0,0,England,1,0,0,0
JC Tredwell (2010-2015),2010-2015,2010,2015,45,25,11,163,30,30,11.64,242,67.35,0,0,3,England,1,0,0,0
MP Maynard (1994-2000),1994-2000,1994,2000,14,12,1,156,41,41,14.18,225,69.33,0,0,1,England,1,0,0,0
IJ Gould (1983-1983),1983-1983,1983,1983,18,14,2,155,42,42,12.91,243,63.78,0,0,2,England,1,0,0,0
CJ Richards (1981-1988),1981-1988,1981,1988,22,16,3,154,50,50,11.84,264,58.33,0,1,3,England,1,0,0,0
MW Alleyne (1999-2000),1999-2000,1999,2000,10,8,1,151,53,53,21.57,255,59.21,0,1,0,England,1,0,0,0
NA Foster (1984-1989),1984-1989,1984,1989,48,25,12,150,24,24,11.53,244,61.47,0,0,3,England,1,0,0,0
GD Barlow (1976-1977),1976-1977,1976,1977,6,6,1,149,80*,80,29.80,255,58.43,0,1,2,England,1,0,0,0
R Clarke (2003-2006),2003-2006,2003,2006,20,13,0,144,39,39,11.07,232,62.06,0,0,2,England,1,0,0,0
MB Loye (2007-2007),2007-2007,2007,2007,7,7,0,142,45,45,20.28,184,77.17,0,0,1,England,1,0,0,0
ARC Fraser (1989-1999),1989-1999,1989,1999,42,20,9,141,38*,38,12.81,208,67.78,0,0,1,England,1,0,0,0
VJ Wells (1999-1999),1999-1999,1999,1999,9,7,0,141,39,39,20.14,253,55.73,0,0,0,England,1,0,0,0
MV Fleming (1997-1998),1997-1998,1997,1998,11,10,1,139,33,33,15.44,137,101.45,0,0,1,England,1,0,0,0
RJ Bailey (1985-1990),1985-1990,1985,1990,4,4,2,137,43*,43,68.50,196,69.89,0,0,0,England,1,0,0,0
ST Finn (2011-2017),2011-2017,2011,2017,69,30,13,136,35,35,8.00,223,60.98,0,0,7,England,1,0,0,0
G Miller (1977-1984),1977-1984,1977,1984,25,18,2,136,46,46,8.50,265,51.32,0,0,3,England,1,0,0,0
RJ Sidebottom (2001-2010),2001-2010,2001,2010,25,18,8,133,24,24,13.30,194,68.55,0,0,2,England,1,0,0,0
JM Vince (2015-2018),2015-2018,2015,2018,6,5,0,131,51,51,26.20,150,87.33,0,1,0,England,1,0,0,0
RW Taylor (1973-1984),1973-1984,1973,1984,27,17,7,130,26*,26,13.00,312,41.66,0,0,2,England,1,0,0,0
FC Hayes (1973-1975),1973-1975,1973,1975,6,6,1,128,52,52,25.60,235,54.46,0,1,0,England,1,0,0,0
TE Jesty (1983-1983),1983-1983,1983,1983,10,10,4,127,52*,52,21.16,182,69.78,0,1,2,England,1,0,0,0
BM Duckett (2016-2016),2016-2016,2016,2016,3,3,0,123,63,63,41.00,152,80.92,0,2,1,England,1,0,0,0
JN Snape (2001-2002),2001-2002,2001,2002,10,7,3,118,38,38,29.50,173,68.20,0,0,0,England,1,0,0,0
PH Edmonds (1977-1987),1977-1987,1977,1987,29,18,7,116,20,20,10.54,232,50.00,0,0,3,England,1,0,0,0
MA Carberry (2013-2014),2013-2014,2013,2014,6,6,0,114,63,63,19.00,180,63.33,0,1,0,England,1,0,0,0
GR Dilley (1979-1988),1979-1988,1979,1988,36,18,8,114,31*,31,11.40,133,85.71,0,0,2,England,1,0,0,0
DL Maddy (1998-2000),1998-2000,1998,2000,8,6,0,113,53,53,18.83,206,54.85,0,1,1,England,1,0,0,0
CL Smith (1984-1984),1984-1984,1984,1984,4,4,0,109,70,70,27.25,240,45.41,0,1,0,England,1,0,0,0
SJ Rhodes (1989-1995),1989-1995,1989,1995,9,8,2,107,56,56,17.83,150,71.33,0,1,0,England,1,0,0,0
G Cook (1981-1983),1981-1983,1981,1983,6,6,0,106,32,32,17.66,261,40.61,0,0,0,England,1,0,0,0
TA Lloyd (1984-1984),1984-1984,1984,1984,3,3,0,101,49,49,33.66,228,44.29,0,0,0,England,1,0,0,0
NMK Smith (1996-1996),1996-1996,1996,1996,7,6,1,100,31,31,20.00,132,75.75,0,0,0,England,1,0,0,0
DR Brown (1997-1998),1997-1998,1997,1998,9,8,4,99,21,21,24.75,143,69.23,0,0,0,England,1,0,0,0
BC Rose (1977-1977),1977-1977,1977,1977,2,2,0,99,54,54,49.50,210,47.14,0,1,0,England,1,0,0,0
GC Small (1987-1992),1987-1992,1987,1992,53,24,9,98,18*,18,6.53,188,52.12,0,0,6,England,1,0,0,0
MP Bicknell (1990-1991),1990-1991,1990,1991,7,6,2,96,31*,31,24.00,104,92.30,0,0,0,England,1,0,0,0
Kabir Ali (2003-2006),2003-2006,2003,2006,14,9,3,93,39*,39,15.50,108,86.11,0,0,2,England,1,0,0,0
SJ Harmison (2002-2009),2002-2009,2002,2009,58,25,14,91,18*,18,8.27,141,64.53,0,0,3,England,1,0,0,0
RM Ellison (1984-1986),1984-1986,1984,1986,14,12,4,86,24,24,10.75,110,78.18,0,0,0,England,1,0,0,0
AD Mullally (1996-2001),1996-2001,1996,2001,50,25,10,86,20,20,5.73,238,36.13,0,0,6,England,1,0,0,0
SI Mahmood (2004-2009),2004-2009,2004,2009,26,15,4,85,22*,22,7.72,101,84.15,0,0,3,England,1,0,0,0
KJ Barnett (1988-1988),1988-1988,1988,1988,1,1,0,84,84,84,84.00,146,57.53,0,1,0,England,1,0,0,0
RGD Willis (1973-1984),1973-1984,1973,1984,64,22,14,83,24,24,10.37,157,52.86,0,0,4,England,1,0,0,0
CJ Adams (1998-2000),1998-2000,1998,2000,5,4,0,71,42,42,17.75,144,49.30,0,0,0,England,1,0,0,0
TK Curran (2017-2018),2017-2018,2017,2018,11,6,5,71,35,35,71.00,62,114.51,0,0,0,England,1,0,0,0
MJ Smith (1973-1974),1973-1974,1973,1974,5,5,0,70,31,31,14.00,159,44.02,0,0,1,England,1,0,0,0
RK Illingworth (1991-1996),1991-1996,1991,1996,25,11,5,68,14,14,11.33,119,57.14,0,0,0,England,1,0,0,0
JD Love (1981-1981),1981-1981,1981,1981,3,3,0,61,43,43,20.33,100,61.00,0,0,0,England,1,0,0,0
JA Jameson (1973-1975),1973-1975,1973,1975,3,3,0,60,28,28,20.00,158,37.97,0,0,0,England,1,0,0,0
RO Butcher (1980-1981),1980-1981,1980,1981,3,3,0,58,52,52,19.33,68,85.29,0,1,0,England,1,0,0,0
JK Lever (1976-1982),1976-1982,1976,1982,22,11,4,56,27*,27,8.00,152,36.84,0,0,1,England,1,0,0,0
RD Jackman (1974-1983),1974-1983,1974,1983,15,9,1,54,14,14,6.75,93,58.06,0,0,1,England,1,0,0,0
RWT Key (2003-2004),2003-2004,2003,2004,5,5,0,54,19,19,10.80,135,40.00,0,0,1,England,1,0,0,0
DL Underwood (1973-1982),1973-1982,1973,1982,26,13,4,53,17,17,5.88,133,39.84,0,0,2,England,1,0,0,0
CS Cowdrey (1985-1985),1985-1985,1985,1985,3,3,1,51,46*,46,25.50,46,110.86,0,0,1,England,1,0,0,0
J Lewis (2005-2007),2005-2007,2005,2007,13,8,2,50,17,17,8.33,63,79.36,0,0,0,England,1,0,0,0
CT Tremlett (2005-2011),2005-2011,2005,2011,15,11,4,50,19*,19,7.14,89,56.17,0,0,1,England,1,0,0,0
DB Close (1972-1972),1972-1972,1972,1972,3,3,0,49,43,43,16.33,50,98.00,0,0,0,England,1,0,0,0
GG Arnold (1972-1975),1972-1975,1972,1975,14,6,3,48,18*,18,16.00,75,64.00,0,0,1,England,1,0,0,0
JH Hampshire (1971-1972),1971-1972,1971,1972,3,3,1,48,25*,25,24.00,86,55.81,0,0,0,England,1,0,0,0
JJ Whitaker (1987-1987),1987-1987,1987,1987,2,2,1,48,44*,44,48.00,65,73.84,0,0,0,England,1,0,0,0
MA Wood (2015-2018),2015-2018,2015,2018,35,11,6,44,13,13,8.80,48,91.66,0,0,1,England,1,0,0,0
WN Slack (1986-1986),1986-1986,1986,1986,2,2,0,43,34,34,21.50,85,50.58,0,0,0,England,1,0,0,0
GB Stevenson (1980-1981),1980-1981,1980,1981,4,4,3,43,28*,28,43.00,56,76.78,0,0,0,England,1,0,0,0
JS Foster (2001-2002),2001-2002,2001,2002,11,6,3,41,13,13,13.66,71,57.74,0,0,0,England,1,0,0,0
GD Lloyd (1996-1998),1996-1998,1996,1998,6,5,1,39,22,22,9.75,80,48.75,0,0,2,England,1,0,0,0
A Shahzad (2010-2011),2010-2011,2010,2011,11,8,2,39,9,9,6.50,60,65.00,0,0,0,England,1,0,0,0
JT Ball (2016-2018),2016-2018,2016,2018,18,6,2,38,28,28,9.50,49,77.55,0,0,2,England,1,0,0,0
PJ Martin (1995-1998),1995-1998,1995,1998,20,13,7,38,6,6,6.33,53,71.69,0,0,0,England,1,0,0,0
TS Roland-Jones (2017-2017),2017-2017,2017,2017,1,1,1,37,37*,37,-,37,100.00,0,0,0,England,1,0,0,0
JO Troughton (2003-2003),2003-2003,2003,2003,6,5,1,36,20,20,9.00,76,47.36,0,0,1,England,1,0,0,0
SD Udal (1994-2005),1994-2005,1994,2005,11,7,4,35,11*,11,11.66,46,76.08,0,0,1,England,1,0,0,0
ID Austin (1998-1999),1998-1999,1998,1999,9,6,1,34,11*,11,6.80,49,69.38,0,0,0,England,1,0,0,0
BN French (1985-1988),1985-1988,1985,1988,13,8,3,34,9*,9,6.80,71,47.88,0,0,2,England,1,0,0,0
PW Jarvis (1988-1993),1988-1993,1988,1993,16,8,2,31,16*,16,5.16,39,79.48,0,0,2,England,1,0,0,0
GJ Batty (2002-2009),2002-2009,2002,2009,10,8,2,30,17,17,5.00,73,41.09,0,0,1,England,1,0,0,0
"BL D'Oliveira (1971-1972)",1971-1972,1971,1972,4,4,1,30,17,17,10.00,43,69.76,0,0,0,England,1,0,0,0
EE Hemmings (1982-1991),1982-1991,1982,1991,33,12,6,30,8*,8,5.00,61,49.18,0,0,1,England,1,0,0,0
MS Panesar (2007-2007),2007-2007,2007,2007,26,8,3,26,13,13,5.20,91,28.57,0,0,0,England,1,0,0,0
RJ Blakey (1992-1993),1992-1993,1992,1993,3,2,0,25,25,25,12.50,50,50.00,0,0,1,England,1,0,0,0
MR Benson (1986-1986),1986-1986,1986,1986,1,1,0,24,24,24,24.00,58,41.37,0,0,0,England,1,0,0,0
DW Headley (1996-1999),1996-1999,1996,1999,13,6,4,22,10*,10,11.00,49,44.89,0,0,1,England,1,0,0,0
CM Wells (1985-1985),1985-1985,1985,1985,2,2,0,22,17,17,11.00,44,50.00,0,0,0,England,1,0,0,0
RA Woolmer (1972-1976),1972-1976,1972,1976,6,4,0,21,9,9,5.25,46,45.65,0,0,1,England,1,0,0,0
AP Igglesden (1994-1994),1994-1994,1994,1994,4,3,1,20,18,18,10.00,31,64.51,0,0,1,England,1,0,0,0
JW Dernbach (2011-2013),2011-2013,2011,2013,24,8,1,19,5,5,2.71,39,48.71,0,0,1,England,1,0,0,0
AG Wharf (2004-2005),2004-2005,2004,2005,13,5,3,19,9,9,9.50,28,67.85,0,0,1,England,1,0,0,0
SG Borthwick (2011-2011),2011-2011,2011,2011,2,2,0,18,15,15,9.00,16,112.50,0,0,0,England,1,0,0,0
SM Curran (2018-2018),2018-2018,2018,2018,2,2,0,17,15,15,8.50,29,58.62,0,0,0,England,1,0,0,0
MJ Hoggard (2001-2006),2001-2006,2001,2006,26,6,2,17,7,7,4.25,30,56.66,0,0,1,England,1,0,0,0
P Lever (1971-1975),1971-1975,1971,1975,10,3,2,17,8*,8,17.00,24,70.83,0,0,0,England,1,0,0,0
CEW Silverwood (1996-2001),1996-2001,1996,2001,7,4,0,17,12,12,4.25,34,50.00,0,0,1,England,1,0,0,0
RL Johnson (2003-2003),2003-2003,2003,2003,10,4,1,16,10,10,5.33,20,80.00,0,0,1,England,1,0,0,0
PJW Allott (1982-1985),1982-1985,1982,1985,13,6,1,15,8,8,3.00,25,60.00,0,0,2,England,1,0,0,0
HF Gurney (2014-2014),2014-2014,2014,2014,10,6,4,15,6*,6,7.50,33,45.45,0,0,0,England,1,0,0,0
BW Luckhurst (1975-1975),1975-1975,1975,1975,3,3,0,15,14,14,5.00,69,21.73,0,0,1,England,1,0,0,0
DM Smith (1986-1990),1986-1990,1986,1990,2,2,1,15,10*,10,15.00,40,37.50,0,0,0,England,1,0,0,0
PCR Tufnell (1990-1997),1990-1997,1990,1997,20,10,9,15,5*,5,15.00,31,48.38,0,0,0,England,1,0,0,0
AP Wells (1995-1995),1995-1995,1995,1995,1,1,0,15,15,15,15.00,10,150.00,0,0,0,England,1,0,0,0
AR Butcher (1980-1980),1980-1980,1980,1980,1,1,0,14,14,14,14.00,26,53.84,0,0,0,England,1,0,0,0
G Chapple (2006-2006),2006-2006,2006,2006,1,1,0,14,14,14,14.00,7,200.00,0,0,0,England,1,0,0,0
LA Dawson (2016-2018),2016-2018,2016,2018,3,2,0,14,10,10,7.00,17,82.35,0,0,0,England,1,0,0,0
NG Cowans (1983-1985),1983-1985,1983,1985,23,8,3,13,4*,4,2.60,29,44.82,0,0,3,England,1,0,0,0
GW Humpage (1981-1981),1981-1981,1981,1981,3,2,0,11,6,6,5.50,24,45.83,0,0,0,England,1,0,0,0
FJ Titmus (1975-1975),1975-1975,1975,1975,2,1,0,11,11,11,11.00,32,34.37,0,0,0,England,1,0,0,0
TR Ambrose (2008-2008),2008-2008,2008,2008,5,5,1,10,6,6,2.50,34,29.41,0,0,1,England,1,0,0,0
DE Malcolm (1990-1994),1990-1994,1990,1994,10,5,2,9,4,4,3.00,11,81.81,0,0,1,England,1,0,0,0
JA Snow (1971-1975),1971-1975,1971,1975,9,4,2,9,5*,5,4.50,41,21.95,0,0,0,England,1,0,0,0
OP Stone (2018-2018),2018-2018,2018,2018,4,1,1,9,9*,9,-,7,128.57,0,0,0,England,1,0,0,0
AJ Tudor (2002-2002),2002-2002,2002,2002,3,2,1,9,6,6,9.00,11,81.81,0,0,0,England,1,0,0,0
